new_id	phase	P__Bacteroidetes	P__Firmicutes	P__Proteobacteria	K__Bacteria	P__Actinobacteria	P__Cyanobacteria.Chloroplast	P__Parcubacteria	P__Acidobacteria	P__Gemmatimonadetes	P__Candidatus_Saccharibacteria	P__Deinococcus.Thermus	P__Armatimonadetes	P__Tenericutes	P__Chloroflexi	P__Verrucomicrobia	P__SR1	P__Spirochaetes	P__Nitrospirae	Unassigned	P__Planctomycetes	P__Fibrobacteres	P__Fusobacteria	P__Synergistetes	P__Microgenomates	P__Deferribacteres	P__Cloacimonetes	P__candidate_division_WPS.1	P__Hydrogenedentes	P__Latescibacteria	P__Elusimicrobia	P__Lentisphaerae	P__Ignavibacteriae
2020-023_PSC_0001	BL	2032	889	4262	1461	1760	40	101	460	0	0	0	0	0	58	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0006	BL	3180	3239	2679	1486	1009	183	363	156	181	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0007	BL	1873	6144	5459	763	709	427	112	0	0	61	10	0	0	0	0	4	0	0	10	7	0	81	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0010	BL	1271	92	1758	584	183	271	37	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0015	BL	2178	7830	7236	961	1209	257	732	12	0	34	242	0	0	0	12	0	0	0	169	7	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0016	BL	2311	5704	6375	1741	631	687	506	0	74	0	75	0	0	9	24	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0023	BL	2361	7841	8752	959	1459	1084	361	0	0	63	0	0	0	63	12	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0031	BL	1011	870	3412	611	677	186	412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0032	BL	5346	1274	9292	3239	1110	1753	403	0	110	5	0	0	0	0	42	0	0	0	0	68	0	0	0	8	0	0	0	0	0	0	0	0
2020-023_PSC_0037	BL	730	108	480	239	53	43	73	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
2020-023_PSC_0042	BL	2281	7386	6171	783	973	509	126	112	0	13	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0
2020-023_PSC_0043	BL	1031	4540	3983	214	495	825	130	31	0	0	118	4	0	0	7	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0044	BL	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0051	BL	3231	5571	7618	1308	1505	557	334	78	0	127	0	80	0	0	35	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0072	BL	6618	12400	10414	1885	1999	1721	398	355	160	161	230	120	0	0	15	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0073	BL	7641	3556	4696	1998	2457	378	448	0	0	0	0	12	0	0	20	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0078	BL	13423	2953	12037	2914	1673	845	453	71	0	115	199	36	0	42	42	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0087	BL	1861	432	1780	1305	639	132	169	46	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
2020-023_PSC_0100	BL	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0103	BL	2285	929	3804	1143	718	220	364	127	0	13	0	73	0	95	12	0	0	53	0	0	0	0	0	11	0	0	0	0	0	0	0	0
2020-023_PSC_0106	BL	5584	1153	6626	2861	1372	1154	562	125	154	211	0	0	0	247	11	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0108	BL	1500	772	2966	442	275	373	239	31	108	0	0	0	0	0	0	0	0	27	0	15	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0110	BL	11922	21054	18705	2806	655	46	123	0	20	0	0	0	272	0	0	0	31	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0112	BL	1195	816	1455	308	323	329	25	0	0	56	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0115	BL	8128	4112	897	0	54	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0120	BL	3541	4525	7734	1859	629	410	134	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0127	BL	1772	7003	4340	283	860	146	141	204	0	0	0	0	0	62	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0128	BL	4860	547	7551	3684	436	789	452	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0133	BL	4419	1258	6360	2209	708	521	522	218	0	0	0	0	0	0	72	0	41	0	15	67	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0136	BL	5376	11169	9841	2038	1083	555	706	98	0	0	72	0	0	60	9	0	108	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0148	BL	838	514	701	383	245	14	205	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0157	BL	1712	9033	7374	767	1223	619	17	226	61	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0158	BL	7542	11859	12701	2454	1084	1285	258	267	0	0	0	0	0	0	0	99	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0160	BL	478	222	551	261	536	55	77	0	0	9	0	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0163	BL	4736	825	4500	1594	3854	1027	444	428	0	0	0	30	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0169	BL	1397	348	526	458	548	17	108	103	8	8	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0177	BL	4307	10692	4502	2043	1211	472	828	0	0	101	0	0	0	15	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0178	BL	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0181	BL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0187	BL	8544	12238	500	75	246	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0188	BL	16190	5927	10508	2246	1250	652	149	240	0	94	0	5	0	230	90	0	41	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0193	BL	3316	4305	4359	626	1228	494	332	55	6	124	24	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0195	BL	10600	32828	33211	2645	4130	1502	1052	369	39	174	155	7	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0197	BL	2472	10793	9032	1152	1250	764	493	0	0	0	0	44	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0201	BL	2323	653	1640	697	200	111	130	46	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0203	BL	4268	1350	5944	2942	1223	516	752	105	0	40	0	18	0	0	24	158	0	0	0	9	0	0	0	0	0	0	0	6	0	0	0	0
2020-023_PSC_0212	BL	4257	10698	10832	1617	3603	638	161	145	0	34	81	0	0	0	0	0	0	0	0	13	0	44	0	0	0	0	0	0	0	0	0	0
