new_id	phase	C__Flavobacteriia	C__Bacilli	C__Betaproteobacteria	K__Bacteria	C__Actinobacteria	C__Alphaproteobacteria	C__Epsilonproteobacteria	C__Gammaproteobacteria	C__Chloroplast	P__Parcubacteria	C__Negativicutes	C__Cytophagia	C__Bacteroidia	C__Oligoflexia	P__Proteobacteria	C__Clostridia	C__Acidobacteria_Gp4	C__Sphingobacteriia	C__Deltaproteobacteria	C__Cyanobacteria	P__Cyanobacteria.Chloroplast	C__Gemmatimonadetes	P__Candidatus_Saccharibacteria	P__Firmicutes	P__Bacteroidetes	C__Acidobacteria_Gp6	C__Acidobacteria_Gp3	C__Deinococci	C__Armatimonadia	C__Mollicutes	C__Caldilineae	C__Verrucomicrobiae	P__SR1	C__Erysipelotrichia	C__Spirochaetia	P__Chloroflexi	C__Nitrospira	Unassigned	P__Planctomycetes	C__Spartobacteria	C__Acidobacteria_Gp16	C__Phycisphaerae	P__Acidobacteria	C__Acidobacteria_Gp17	C__Fibrobacteria	C__Chloroflexia	C__Fusobacteriia	C__Acidobacteria_Gp1	C__Thermoleophilia	C__Planctomycetia	P__Verrucomicrobia	C__Subdivision3	C__Armatimonadetes_gp5	C__Synergistia	P__Microgenomates	C__Anaerolineae	C__Deferribacteres	C__Opitutae	C__Candidatus_Cloacamonas	C__Holophagae	C__Acidobacteria_Gp11	P__candidate_division_WPS.1	C__Thermomicrobia	C__Acidobacteria_Gp10	P__Actinobacteria	C__Fimbriimonadia	C__Chitinivibrionia	C__Candidatus_Hydrogenedens	P__Latescibacteria	C__Endomicrobia	P__Lentisphaerae	C__Ignavibacteria	C__Oligosphaeria	C__Lentisphaeria	C__Armatimonadetes_gp4
2020-023_PSC_0001	BL	1854	503	995	1461	1760	2145	0	344	40	101	0	0	12	0	388	386	124	166	390	0	0	0	0	0	0	336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	24	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0006	BL	2436	1726	942	1486	1009	519	0	981	183	363	0	247	324	0	175	1513	156	47	62	0	0	181	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0007	BL	1360	5631	2452	763	709	1358	62	1532	171	112	0	245	94	0	42	513	0	147	13	256	0	0	61	0	27	0	0	10	0	0	0	0	4	0	0	0	0	10	7	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0010	BL	1079	0	990	584	183	563	0	167	271	37	0	103	84	38	0	92	23	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0015	BL	1659	6963	3660	961	1209	2002	0	1364	213	732	0	75	202	0	183	867	0	100	27	44	0	0	34	0	142	12	0	242	0	0	0	12	0	0	0	0	0	169	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0016	BL	1611	5229	2930	1741	631	1407	106	1413	525	506	93	299	116	79	186	382	0	125	254	162	0	74	0	0	160	0	0	75	0	0	0	24	0	0	0	9	0	0	22	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0023	BL	1762	7094	3861	959	1459	2731	0	1528	696	361	0	275	94	0	264	747	0	152	368	388	0	0	63	0	78	0	0	0	0	0	0	12	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0031	BL	822	803	1391	611	677	1329	0	575	186	412	0	0	0	0	117	67	0	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0032	BL	4985	1192	4744	3239	1110	2368	0	1124	1753	403	0	176	0	353	479	82	0	185	224	0	0	110	5	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	32	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0037	BL	644	57	91	239	53	179	0	108	43	73	0	19	51	0	55	51	0	0	47	0	0	0	0	0	16	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
