new_id	phase	O__Flavobacteriales	O__Bacillales	O__Burkholderiales	K__Bacteria	O__Actinomycetales	O__Sphingomonadales	O__Campylobacterales	O__Rhodobacterales	O__Enterobacteriales	O__Pseudomonadales	O__Chloroplast	P__Parcubacteria	O__Selenomonadales	O__Cytophagales	O__Bacteroidales	O__Oligoflexales	O__Lactobacillales	P__Proteobacteria	O__Rhizobiales	O__Vibrionales	C__Gammaproteobacteria	O__Clostridiales	C__Alphaproteobacteria	O__Blastocatella	O__Caulobacterales	O__Sphingobacteriales	C__Deltaproteobacteria	O__Coriobacteriales	O__Myxococcales	C__Bacilli	O__Neisseriales	O__Legionellales	O__Family_I	C__Cyanobacteria	O__Bdellovibrionales	O__Rhodospirillales	P__Cyanobacteria.Chloroplast	O__Pasteurellales	O__Gemmatimonadales	O__Solirubrobacterales	P__Candidatus_Saccharibacteria	P__Firmicutes	P__Bacteroidetes	O__Chromatiales	C__Actinobacteria	O__Methylophilales	O__Family_VIII	O__Rickettsiales	O__Family_II	O__Gp6	O__Hydrogenophilales	O__Gp3	O__Deinococcales	O__Thermoanaerobacterales	O__Desulfuromonadales	O__Alteromonadales	O__Armatimonadales	O__Mycoplasmatales	O__Caldilineales	O__Xanthomonadales	O__Verrucomicrobiales	O__Rhodocyclales	P__SR1	O__Erysipelotrichales	C__Acidobacteria_Gp4	O__Gaiellales	O__Nitrosomonadales	O__Desulfovibrionales	O__Aridibacter	O__Aeromonadales	O__Spirochaetales	O__Family_VI	O__Gp4	C__Betaproteobacteria	P__Chloroflexi	O__Desulfobacterales	O__Nitrospirales	Unassigned	P__Planctomycetes	O__Gammaproteobacteria_incertae_sedis	O__Family_XI	C__Spartobacteria	O__Gp16	O__Phycisphaerales	O__Family_X	C__Epsilonproteobacteria	P__Acidobacteria	O__Acidimicrobiales	C__Acidobacteria_Gp3	O__Gp17	O__Fibrobacterales	O__Ferrovales	O__Methylococcales	O__Chloroflexales	O__Fusobacteriales	O__Terriglobus	O__Rubrobacterales	O__Thiotrichales	O__Thermoleophilales	O__Planctomycetales	P__Verrucomicrobia	O__Alphaproteobacteria_incertae_sedis	C__Subdivision3	C__Armatimonadetes_gp5	O__Thermales	C__Chloroflexia	O__Anaeroplasmatales	O__Synergistales	C__Clostridia	P__Microgenomates	O__Anaerolineales	O__Tepidisphaerales	O__Deferribacterales	O__Opitutales	C__Candidatus_Cloacamonas	O__Bryobacter	O__Holophagales	O__Gp11	O__Oceanospirillales	O__Syntrophobacterales	O__Procabacteriales	O__Family_IV	O__Eilatimonas	O__Gallionellales	P__candidate_division_WPS.1	C__Thermomicrobia	O__Granulicella	O__Sphaerobacterales	O__Gp10	O__Bifidobacteriales	O__Sneathiellales	O__Magnetococcales	P__Actinobacteria	O__Entomoplasmatales	O__Fimbriimonadales	O__Chitinivibrionales	C__Candidatus_Hydrogenedens	P__Latescibacteria	O__Sulfuricellales	O__Candidatus_Endomicrobium	P__Lentisphaerae	O__Ignavibacteriales	O__Oligosphaerales	O__Orbales	O__Terrimicrobium	C__Opitutae	O__Victivallales	C__Armatimonadetes_gp4
2020-023_PSC_0001	BL	1854	503	995	1461	1544	22	0	0	0	0	40	101	0	0	12	0	0	388	1227	0	171	386	586	124	0	166	107	0	283	0	0	0	0	0	0	310	0	0	0	0	0	0	0	173	180	0	0	0	0	336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	129	0	24	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0006	BL	2436	490	942	1486	883	186	0	0	0	742	183	363	0	247	324	0	1236	175	0	0	239	1513	60	156	158	47	62	114	0	0	0	0	0	0	0	115	0	0	181	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0007	BL	1360	4693	2452	763	642	516	62	173	532	707	171	112	0	245	94	0	938	42	466	0	43	513	86	0	79	147	0	0	13	0	0	83	36	150	0	25	0	38	0	0	61	0	27	0	0	0	0	13	0	0	0	0	10	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	7	0	70	0	0	0	0	0	0	67	0	0	0	0	0	0	81	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0010	BL	1079	0	990	584	35	12	0	168	128	39	271	37	0	103	84	38	0	0	162	0	0	92	0	23	135	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	5	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0015	BL	1659	6622	3512	961	1137	747	0	173	273	791	213	732	0	75	202	0	341	183	799	0	64	867	56	0	0	100	0	72	27	0	0	236	0	44	0	227	0	0	0	0	34	0	142	0	0	98	0	0	0	12	0	0	242	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	169	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0016	BL	1611	4775	2930	1741	583	480	106	342	418	640	525	506	93	299	116	79	454	186	395	0	180	343	47	0	83	125	72	35	182	0	0	153	115	0	0	60	0	0	74	0	0	0	160	16	0	0	0	0	0	0	0	0	75	39	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	6	0	0	0	0	9	0	0	0	22	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0023	BL	1762	6906	3743	959	1364	1104	0	416	758	728	696	361	0	275	94	0	188	264	1085	0	42	747	112	0	0	152	201	0	88	0	0	0	0	298	79	14	0	0	0	0	63	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	118	63	0	0	0	0	0	0	0	0	0	90	0	0	95	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0031	BL	822	803	1321	611	677	805	0	71	0	119	186	412	0	0	0	0	0	117	243	0	95	67	210	0	0	189	0	0	0	0	0	238	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0032	BL	4985	1048	4554	3239	1110	902	0	127	77	144	1753	403	0	176	0	353	144	479	616	0	143	82	287	0	126	185	0	0	224	0	0	760	0	0	0	95	0	0	110	0	5	0	0	0	0	0	0	215	0	0	0	0	0	0	0	0	0	0	0	0	10	127	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	32	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0037	BL	644	57	83	239	53	38	0	37	0	37	43	73	0	19	51	0	0	55	86	0	33	51	18	0	0	0	21	0	17	0	0	32	0	0	9	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
