new_id	phase	F__Flavobacteriaceae	F__Bacillaceae_1	F__Oxalobacteraceae	K__Bacteria	F__Propionibacteriaceae	F__Comamonadaceae	F__Cryomorphaceae	F__Burkholderiaceae	F__Sphingomonadaceae	F__Staphylococcaceae	F__Campylobacteraceae	F__Rhodobacteraceae	F__Enterobacteriaceae	F__Moraxellaceae	F__Bacillariophyta	P__Parcubacteria	F__Pseudomonadaceae	F__Veillonellaceae	F__Microbacteriaceae	F__Cytophagaceae	F__Bacteroidaceae	F__Cryptomonadaceae	F__Oligoflexaceae	F__Lactobacillaceae	P__Proteobacteria	F__Brucellaceae	F__Methylobacteriaceae	F__Vibrionaceae	F__Streptophyta	F__Chlorophyta	C__Gammaproteobacteria	F__Rikenellaceae	F__Corynebacteriaceae	F__Lachnospiraceae	C__Alphaproteobacteria	O__Blastocatella	F__Demequinaceae	F__Caulobacteraceae	F__Saprospiraceae	F__Prevotellaceae	F__Alcaligenaceae	C__Deltaproteobacteria	F__Streptococcaceae	F__Coriobacteriaceae	F__Enterococcaceae	F__Polyangiaceae	F__Porphyromonadaceae	C__Bacilli	O__Rhizobiales	F__Neisseriaceae	F__Burkholderiales_incertae_sedis	F__Hyphomicrobiaceae	F__Legionellaceae	F__GpI	C__Cyanobacteria	F__Bacteriovoracaceae	F__Acetobacteraceae	P__Cyanobacteria.Chloroplast	F__Micrococcaceae	F__Pasteurellaceae	F__Segniliparaceae	F__Erythrobacteraceae	F__Gemmatimonadaceae	F__Ruminococcaceae	F__Carnobacteriaceae	O__Burkholderiales	F__Solirubrobacteraceae	F__Listeriaceae	P__Candidatus_Saccharibacteria	F__Bacillales_Incertae_Sedis_X	O__Actinomycetales	P__Firmicutes	P__Bacteroidetes	F__Ectothiorhodospiraceae	F__Clostridiaceae_1	C__Actinobacteria	F__Chitinophagaceae	F__Bradyrhizobiaceae	F__Methylophilaceae	F__Phyllobacteriaceae	F__Rhizobiaceae	F__Flammeovirgaceae	O__Myxococcales	F__GpVIII	F__Rickettsiaceae	F__Nocardiaceae	F__GpIIa	O__Gp6	F__Hydrogenophilaceae	O__Gp3	F__Bacillales_Incertae_Sedis_XI	O__Cytophagales	F__Coxiellaceae	F__Deinococcaceae	F__Rhizobiales_incertae_sedis	F__Thermodesulfobiaceae	F__Intrasporangiaceae	F__Desulfuromonadaceae	F__Aurantimonadaceae	F__Alteromonadaceae	F__Armatimonadaceae	F__Mycoplasmataceae	F__Caldilineaceae	F__Xanthomonadaceae	F__Labilitrichaceae	F__Verrucomicrobiaceae	O__Chloroplast	F__Rhodocyclaceae	P__SR1	F__Erysipelotrichaceae	F__Peptostreptococcaceae	C__Acidobacteria_Gp4	F__Bdellovibrionaceae	F__Actinomycetaceae	F__Gaiellaceae	F__Spirillaceae	F__Desulfovibrionaceae	F__Mycobacteriaceae	O__Aridibacter	F__Aeromonadaceae	F__Chromatiaceae	F__Leptospiraceae	F__Sutterellaceae	F__Beijerinckiaceae	F__Acidaminococcaceae	F__GpVI	F__Trueperaceae	F__Rhodospirillaceae	O__Gp4	F__Helicobacteraceae	C__Betaproteobacteria	F__Pseudonocardiaceae	F__Clostridiales_Incertae_Sedis_XI	F__Nocardioidaceae	P__Chloroflexi	F__Nakamurellaceae	F__Nannocystaceae	F__Desulfobacteraceae	F__Nitrospiraceae	Unassigned	P__Planctomycetes	O__Gammaproteobacteria_incertae_sedis	F__Sandaracinaceae	F__GpXI	C__Spartobacteria	F__Beutenbergiaceae	O__Gp16	F__Aerococcaceae	F__Phycisphaeraceae	F__GpX	F__Geodermatophilaceae	O__Clostridiales	C__Epsilonproteobacteria	O__Chromatiales	F__Methylocystaceae	O__Bacteroidales	F__Sphingobacteriaceae	O__Sphingobacteriales	P__Acidobacteria	F__Iamiaceae	C__Acidobacteria_Gp3	F__Brevibacteriaceae	O__Flavobacteriales	F__Acidimicrobineae_incertae_sedis	O__Gp17	F__Fibrobacteraceae	F__Cystobacteraceae	F__Sanguibacteraceae	F__Reyranella	F__Sinobacteraceae	F__Ferrovaceae	F__Patulibacteraceae	F__Methylococcaceae	F__Nitrosomonadaceae	F__Prolixibacteraceae	F__Chloroflexaceae	F__Planococcaceae	F__Geobacteraceae	F__Leptotrichiaceae	F__Cyclobacteriaceae	F__GpIIb	O__Acidimicrobiales	F__Hyphomonadaceae	O__Bacillales	O__Terriglobus	F__Umboniibacter	F__Rubrobacteraceae	F__Leuconostocaceae	F__Cellulomonadaceae	F__Methylohalomonas	F__Dermabacteraceae	F__Thiotrichaceae	F__Spirochaetaceae	F__Micromonosporaceae	O__Chloroflexales	F__Cryptosporangiaceae	F__Shewanellaceae	F__Thermoleophilaceae	F__Planctomycetaceae	F__Paenibacillaceae_1	F__Xanthobacteraceae	F__Dermacoccaceae	O__Xanthomonadales	F__Acidimicrobiaceae	F__Kineosporiaceae	P__Verrucomicrobia	F__Rhizomicrobium	C__Subdivision3	F__Haliangiaceae	F__Bacillaceae_2	C__Armatimonadetes_gp5	F__Thermaceae	F__Catabacteriaceae	F__Fusobacteriaceae	C__Chloroflexia	F__Anaeroplasmataceae	F__Peptococcaceae_1	O__Bdellovibrionales	O__Lactobacillales	F__Rhodothermaceae	O__Rhodospirillales	F__Thermoactinomycetaceae_1	F__Synergistaceae	C__Clostridia	F__Clostridiales_Incertae_Sedis_XIII	P__Microgenomates	O__Pseudomonadales	F__Anaerolineaceae	F__Tepidisphaeraceae	F__Deferribacteraceae	O__Desulfobacterales	F__Opitutaceae	C__Candidatus_Cloacamonas	F__Syntrophomonadaceae	O__Bryobacter	F__Chryseolinea	F__Natranaerovirga	O__Solirubrobacterales	F__Euglenida	F__Desulfobulbaceae	F__Gracilibacteraceae	F__Holophagaceae	F__Desulfomicrobiaceae	F__Micrococcineae_incertae_sedis	F__Dermatophilaceae	O__Campylobacterales	O__Gp11	F__Peptoniphilaceae	F__Alicyclobacillaceae	F__Tsukamurellaceae	F__Oceanospirillaceae	F__Syntrophaceae	F__Marinilabiliaceae	F__Dietziaceae	F__Geminicoccus	F__Streptomycetaceae	O__Oceanospirillales	F__Procabacteriaceae	F__GpIV	F__Rhodobiaceae	O__Eilatimonas	F__Oceanospirillales_incertae_sedis	F__Bacillales_Incertae_Sedis_XII	F__Gallionellaceae	P__candidate_division_WPS.1	F__Myxococcaceae	F__Conexibacteraceae	C__Thermomicrobia	F__Heliobacteriaceae	F__Succinivibrionaceae	O__Spirochaetales	F__Catenulisporaceae	F__Ohtaekwangia	F__Halomonadaceae	O__Granulicella	F__Sphaerobacteraceae	F__Clostridiales_Incertae_Sedis_XII	F__Pseudoalteromonadaceae	F__Sporichthyaceae	O__Gp10	F__Eubacteriaceae	F__Bifidobacteriaceae	F__Sneathiellaceae	F__Syntrophobacteraceae	F__Magnetococcaceae	F__Promicromonosporaceae	P__Actinobacteria	F__Spiroplasmataceae	F__Fimbriimonadaceae	F__Chitinivibrionaceae	O__Alteromonadales	C__Candidatus_Hydrogenedens	P__Latescibacteria	F__Sulfuricellaceae	F__Eionea	O__Candidatus_Endomicrobium	O__Sphingomonadales	P__Lentisphaerae	F__Ignavibacteriaceae	F__Christensenellaceae	F__Oligosphaeraceae	F__Orbaceae	O__Terrimicrobium	C__Opitutae	F__Sedimenticola	O__Caulobacterales	F__Victivallaceae	C__Armatimonadetes_gp4
2020-023_PSC_0001	BL	1653	297	0	1461	390	203	201	272	22	206	0	0	0	0	40	101	0	0	120	0	0	0	0	0	388	0	246	0	0	0	171	0	193	90	586	124	0	0	0	12	72	107	0	0	0	0	0	0	589	0	448	0	0	0	0	0	310	0	202	0	0	0	0	296	0	0	0	0	0	0	0	0	0	0	0	180	166	0	0	201	0	0	0	0	0	0	0	336	0	0	0	0	0	0	191	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	356	0	199	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	173	0	0	0	0	0	36	0	0	0	0	0	0	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0006	BL	2436	490	269	1486	142	294	0	293	58	0	0	0	0	470	0	363	272	0	307	247	2	183	0	1236	175	0	0	0	0	0	239	0	92	1224	60	156	0	158	0	322	86	62	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	181	289	0	0	0	0	0	0	30	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	60	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0007	BL	1324	4552	1963	763	238	360	36	105	516	141	62	173	532	379	56	112	328	0	30	216	0	47	0	866	42	135	30	0	0	68	43	0	0	410	86	0	0	79	52	0	24	0	56	0	16	0	94	0	0	0	0	69	83	36	150	0	25	0	88	38	0	0	0	103	0	0	0	0	61	0	12	0	27	0	0	0	95	44	0	0	128	0	0	0	13	0	0	0	0	0	0	29	0	10	60	0	28	0	0	0	0	0	0	0	13	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	185	0	0	0	0	0	10	7	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	67	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0010	BL	1022	0	174	584	35	721	0	95	12	0	0	168	128	0	93	37	39	0	0	103	84	178	38	0	0	0	0	0	0	0	0	0	0	0	0	23	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	86	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	5	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0015	BL	1483	6433	2264	961	42	1248	176	0	747	189	0	173	273	677	131	732	114	0	788	52	108	0	0	247	183	407	328	0	82	0	64	0	150	782	56	0	0	0	0	0	0	0	0	72	94	0	0	0	64	0	0	0	170	0	44	0	227	0	0	0	0	0	0	57	0	0	0	0	34	0	0	0	142	0	0	0	100	0	98	0	0	0	0	0	0	0	0	12	0	0	0	23	66	242	0	0	70	0	0	0	0	0	0	0	27	12	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	169	7	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0016	BL	1390	4434	1989	1741	106	794	176	141	403	176	0	342	418	401	281	506	239	93	283	290	0	160	79	258	186	5	190	0	0	78	180	0	0	294	47	0	0	83	94	0	6	72	123	35	73	59	116	0	0	0	0	21	153	115	0	0	60	0	0	0	0	77	74	49	0	0	0	165	0	0	0	0	160	0	0	0	31	0	0	0	127	0	42	0	0	0	0	0	0	0	0	9	0	75	0	39	72	0	0	0	0	0	0	0	0	24	6	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	52	0	0	0	0	0	106	0	0	0	122	9	0	0	0	0	0	22	0	47	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0023	BL	1532	6742	2928	959	264	524	230	241	1104	164	0	416	758	294	323	361	434	0	136	275	0	218	0	169	264	0	708	0	120	35	42	0	254	347	112	0	0	0	0	0	3	201	19	0	0	0	94	0	91	0	47	0	0	0	298	0	14	0	0	0	0	0	0	311	0	0	0	0	63	0	286	0	78	0	0	0	152	140	0	0	146	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	89	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	424	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0031	BL	822	0	237	611	677	558	0	287	805	803	0	71	0	0	132	412	119	0	0	0	0	0	0	0	117	0	28	0	0	54	95	0	0	0	210	0	0	0	144	0	0	0	0	0	0	0	0	0	215	0	0	0	238	0	0	0	0	0	0	0	0	0	0	67	0	239	0	0	0	0	0	0	0	0	0	0	45	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0032	BL	4519	681	684	3239	134	3036	466	390	902	261	0	127	77	144	1180	403	0	0	384	176	0	502	353	0	479	0	0	0	0	71	143	0	198	82	287	0	100	126	0	0	0	0	113	0	0	50	0	0	225	0	324	391	531	0	0	0	95	0	87	0	0	0	110	0	0	120	0	0	5	0	118	0	0	0	0	0	185	0	0	0	0	0	174	0	215	0	0	0	0	0	0	0	229	0	0	0	0	0	0	0	0	0	0	0	0	10	0	127	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	106	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0037	BL	613	42	0	239	15	65	31	8	38	15	0	37	0	23	33	73	14	0	13	7	8	10	0	0	55	0	35	0	0	0	33	0	0	40	18	0	0	0	0	17	0	21	0	0	0	8	13	0	0	0	0	21	32	0	0	0	0	0	0	0	0	0	0	11	0	10	0	0	0	0	16	0	16	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	8	5	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
