new_id	phase	K__Bacteria	NA
2020-023_BSP_0011	F2	2	0
2020-023_BSP_0041	F2	5958	0
2020-023_BSP_0055	F2	16605	58
2020-023_BSP_0096	F2	17130	0
2020-023_BSP_0119	F2	16091	0
2020-023_BSP_0132	F2	23805	0
2020-023_BSP_0173	F2	42408	0
2020-023_BSP_0198	F2	7718	0
2020-023_BSP_0217	F2	6975	30
2020-023_BSP_0249	F2	35706	0
2020-023_BSP_0253	F2	6683	0
2020-023_BSP_0261	F2	14443	0
2020-023_BSP_0296	F2	12798	38
2020-023_BSP_0312	F2	12962	0
2020-023_BSP_0327	F2	26350	22
2020-023_BSP_0348	F2	31828	0
2020-023_BSP_0361	F2	599	0
2020-023_BSP_0379	F2	5818	0
2020-023_BSP_0381	F2	30299	2
2020-023_BSP_0388	F2	2836	0
2020-023_BSP_0414	F2	10988	0
2020-023_BSP_0421	F2	19772	22
2020-023_BSP_0432	F2	46394	9
2020-023_BSP_0438	F2	9502	2
2020-023_BSP_0442	F2	17759	0
2020-023_BSP_0450	F2	41052	0
2020-023_BSP_0461	F2	18194	0
2020-023_BSP_0464	F2	8097	0
2020-023_BSP_0471	F2	21518	34
2020-023_BSP_0473	F2	43066	24
2020-023_BSP_0478	F2	11548	0
2020-023_BSP_0483	F2	32239	0
2020-023_BSP_0496	F2	14429	77
2020-023_BSP_0544	F2	25449	61
2020-023_BSP_0549	F2	54811	0
2020-023_BSP_0566	F2	17108	307
2020-023_BSP_0568	F2	384	15
2020-023_BSP_0592	F2	10833	32
2020-023_BSP_0593	F2	9784	0
2020-023_BSP_0594	F2	7452	0
2020-023_BSP_0756	F2	41119	7
2020-023_BSP_0762	F2	27895	0
2020-023_PSC_0002	BL	188	2
2020-023_PSC_0004	BL	7086	9
2020-023_PSC_0005	BL	14999	10
2020-023_PSC_0008	BL	5897	0
2020-023_PSC_0009	BL	4532	4
2020-023_PSC_0012	BL	184	0
2020-023_PSC_0013	BL	15532	0
2020-023_PSC_0017	BL	1143	12
2020-023_PSC_0018	BL	24528	27
2020-023_PSC_0019	BL	4575	0
2020-023_PSC_0020	BL	4341	16
2020-023_PSC_0021	BL	17960	0
2020-023_PSC_0022	BL	9278	0
2020-023_PSC_0024	BL	4294	21
2020-023_PSC_0026	BL	260	14
2020-023_PSC_0027	BL	4680	8
2020-023_PSC_0029	BL	2380	0
2020-023_PSC_0030	BL	363	5
2020-023_PSC_0033	BL	25205	96
2020-023_PSC_0036	BL	4430	9
2020-023_PSC_0038	BL	22722	29
2020-023_PSC_0039	BL	10112	0
2020-023_PSC_0045	BL	1663	0
2020-023_PSC_0047	BL	22792	0
2020-023_PSC_0048	BL	24509	0
2020-023_PSC_0050	BL	36952	0
2020-023_PSC_0054	BL	528	4
2020-023_PSC_0057	BL	27761	0
2020-023_PSC_0058	BL	1488	0
2020-023_PSC_0059	BL	14102	43
2020-023_PSC_0060	BL	679	15
2020-023_PSC_0061	BL	7298	0
2020-023_PSC_0062	BL	20513	0
2020-023_PSC_0063	BL	500	23
2020-023_PSC_0064	BL	38531	0
2020-023_PSC_0065	BL	8728	21
2020-023_PSC_0066	BL	1858	18
2020-023_PSC_0067	BL	9776	39
2020-023_PSC_0069	BL	20308	70
2020-023_PSC_0070	BL	1923	30
2020-023_PSC_0074	BL	299	0
2020-023_PSC_0075	BL	14243	2
2020-023_PSC_0076	BL	3808	4
2020-023_PSC_0077	BL	9409	5
2020-023_PSC_0079	BL	11565	0
2020-023_PSC_0080	BL	9523	9
2020-023_PSC_0081	BL	10858	18
2020-023_PSC_0082	BL	1453	0
2020-023_PSC_0084	BL	1088	14
2020-023_PSC_0085	BL	13	0
2020-023_PSC_0086	BL	141	0
2020-023_PSC_0089	BL	14424	0
2020-023_PSC_0090	BL	8853	114
2020-023_PSC_0091	BL	2699	5
2020-023_PSC_0092	BL	5599	11
2020-023_PSC_0093	BL	8738	9
2020-023_PSC_0095	BL	12956	0
2020-023_PSC_0097	BL	897	0
2020-023_PSC_0098	BL	4091	22
2020-023_PSC_0099	BL	12430	26
2020-023_PSC_0101	BL	9835	16
2020-023_PSC_0102	BL	45758	16
2020-023_PSC_0105	BL	14966	14
2020-023_PSC_0107	BL	929	19
2020-023_PSC_0109	BL	10353	5
2020-023_PSC_0111	BL	11451	49
2020-023_PSC_0113	BL	10199	0
2020-023_PSC_0114	BL	20616	0
2020-023_PSC_0116	BL	13223	81
2020-023_PSC_0117	BL	2308	0
2020-023_PSC_0118	BL	21223	0
2020-023_PSC_0122	BL	34388	32
2020-023_PSC_0123	BL	8977	76
2020-023_PSC_0124	BL	21561	112
2020-023_PSC_0125	BL	46207	0
2020-023_PSC_0126	BL	13049	0
2020-023_PSC_0129	BL	306	6
2020-023_PSC_0130	BL	17583	0
2020-023_PSC_0131	BL	2	0
2020-023_PSC_0134	BL	9169	13
2020-023_PSC_0135	BL	6645	15
2020-023_PSC_0137	BL	2300	20
2020-023_PSC_0139	BL	12141	21
2020-023_PSC_0140	BL	657	6
2020-023_PSC_0141	BL	1461	31
2020-023_PSC_0142	BL	23579	75
2020-023_PSC_0144	BL	2317	5
2020-023_PSC_0145	BL	1897	0
2020-023_PSC_0146	BL	194	3
2020-023_PSC_0147	BL	5483	24
2020-023_PSC_0149	BL	8897	0
