new_id	phase	P__Actinobacteria	P__Proteobacteria	P__Bacteroidetes	P__Firmicutes	P__Cyanobacteria.Chloroplast	P__Parcubacteria	P__Fusobacteria	K__Bacteria	NA	P__SR1	P__Candidatus_Saccharibacteria	P__Verrucomicrobia	P__Deferribacteres	P__Chloroflexi	P__Acidobacteria	P__Spirochaetes	P__Deinococcus.Thermus	P__Fibrobacteres	P__Tenericutes	P__Planctomycetes	P__Armatimonadetes	P__Gemmatimonadetes	P__Nitrospirae	P__Latescibacteria	P__Elusimicrobia	P__Ignavibacteriae	P__Microgenomates	P__Cloacimonetes	P__Synergistetes	P__candidate_division_WPS.1	P__Caldiserica	P__Chlamydiae	P__Lentisphaerae
2020-023_BSP_0011	F2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0041	F2	650	3439	370	843	16	389	0	138	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0055	F2	3858	8048	0	1862	0	833	0	1705	58	0	0	0	0	0	0	0	0	0	0	0	0	0	299	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0096	F2	1477	10050	4839	725	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0119	F2	1954	5990	2657	3108	943	926	0	513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0132	F2	6862	5283	2358	5468	0	2885	0	949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0173	F2	594	541	13805	26804	63	170	0	159	0	0	40	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0
2020-023_BSP_0198	F2	287	4207	1140	1244	319	204	0	249	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0217	F2	801	2846	430	1206	143	705	0	733	30	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0249	F2	284	3137	12901	19215	0	5	0	99	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0253	F2	495	3170	839	1283	188	215	0	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	80	0	0	0	0	0	0
2020-023_BSP_0261	F2	257	10611	1744	902	0	403	0	274	0	0	0	0	0	0	249	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0296	F2	2935	4103	916	3700	2	779	0	363	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0312	F2	2209	6851	1748	1265	0	262	0	627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0327	F2	2781	8185	7400	5717	282	1861	0	96	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0
2020-023_BSP_0348	F2	4606	21204	302	3807	1002	7	0	632	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0
2020-023_BSP_0361	F2	12	327	92	96	41	29	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0379	F2	1186	3111	306	414	157	385	0	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0381	F2	1837	12094	7508	6302	516	866	0	708	2	0	0	0	0	0	468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0388	F2	52	1299	342	607	89	129	0	318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0414	F2	235	6233	633	2644	324	343	0	576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0421	F2	1805	6292	3921	6735	154	441	163	140	22	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	9	0	0	0	0	0	0
2020-023_BSP_0432	F2	5420	4222	17691	17553	275	284	0	676	9	191	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0438	F2	2064	3835	1772	908	127	372	0	418	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
2020-023_BSP_0442	F2	3440	9074	425	2381	0	2141	0	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0450	F2	1839	8588	11144	16046	458	237	272	2468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0461	F2	1552	5564	1949	8169	0	570	0	390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0464	F2	725	4699	512	280	1080	358	0	382	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0471	F2	8728	3724	2523	5017	5	389	242	778	34	0	105	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0473	F2	5968	11266	9804	12950	514	936	377	1242	24	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
