new_id	phase	O__Actinomycetales	O__Oceanospirillales	O__Burkholderiales	O__Flavobacteriales	O__Lactobacillales	O__Bacillales	O__Enterobacteriales	O__Pseudomonadales	O__Neisseriales	O__Bacteroidales	O__Chloroplast	O__Clostridiales	O__Chromatiales	O__Pasteurellales	O__Sphingomonadales	P__Parcubacteria	C__Gammaproteobacteria	O__Fusobacteriales	O__Rhodobacterales	O__Rhizobiales	O__Sphingobacteriales	O__Selenomonadales	C__Alphaproteobacteria	K__Bacteria	P__Firmicutes	O__Family_I	O__Rhodospirillales	O__Xanthomonadales	O__Caulobacterales	O__Erysipelotrichales	NA	C__Betaproteobacteria	C__Deltaproteobacteria	P__Proteobacteria	P__Bacteroidetes	O__Coriobacteriales	O__Cytophagales	O__Myxococcales	O__Legionellales	O__Rhodocyclales	O__Campylobacterales	O__Bdellovibrionales	O__Hydrogenophilales	O__Methylophilales	O__Desulfovibrionales	P__SR1	C__Cyanobacteria	P__Candidatus_Saccharibacteria	O__Nitrosomonadales	O__Verrucomicrobiales	O__Solirubrobacterales	O__Deferribacterales	O__Sphaerobacterales	P__Chloroflexi	O__Chloroflexales	O__Cardiobacteriales	O__Rickettsiales	O__Aeromonadales	O__Gp6	C__Acidobacteria_Gp4	O__Gp4	O__Spirochaetales	O__Alphaproteobacteria_incertae_sedis	O__Acidimicrobiales	O__Thermales	O__Family_VI	O__Gp3	O__Deinococcales	O__Fibrobacterales	C__Actinobacteria	O__Blastocatella	O__Mycoplasmatales	O__Family_IV	O__Gp1	O__Alteromonadales	O__Terriglobus	O__Aridibacter	O__Planctomycetales	O__Oligoflexales	O__Family_VIII	O__Methylococcales	C__Clostridia	O__Gp16	O__Thermoleophilales	O__Sulfuricellales	P__Verrucomicrobia	O__Armatimonadales	P__Cyanobacteria.Chloroplast	O__Candidatus_Solibacter	P__Actinobacteria	O__Chitinivibrionales	O__Bifidobacteriales	O__Gemmatimonadales	O__Desulfuromonadales	O__Nitrospirales	O__Desulfobacterales	P__Planctomycetes	O__Gammaproteobacteria_incertae_sedis	O__Anaerolineales	O__Gaiellales	P__Latescibacteria	O__Candidatus_Endomicrobium	O__Gallionellales	O__Dehalococcoidales	C__Subdivision3	O__Gp5	O__Caldilineales	O__Family_IX	C__Bacilli	O__Holophagales	O__Family_X	O__Terrimicrobium	O__Thiotrichales	O__Anaeroplasmatales	C__Spartobacteria	O__Tepidisphaerales	O__Ignavibacteriales	O__Phycisphaerales	C__Armatimonadetes_gp2	O__Bryobacter	P__Microgenomates	C__Candidatus_Cloacamonas	O__Synergistales	O__Thermoanaerobacterales	O__Acholeplasmatales	O__Procabacteriales	P__candidate_division_WPS.1	O__Opitutales	O__Ferrovales	O__Gp17	O__Gp22	C__Armatimonadetes_gp5	O__Rubrobacterales	O__Family_II	O__Deltaproteobacteria_incertae_sedis	C__Thermomicrobia	O__Vibrionales	C__Chloroflexia	O__Gp2	O__Caldisericales	O__Gp10	O__Gp7	O__Puniceicoccales	O__Halanaerobiales	O__Syntrophobacterales	C__Planctomycetia	O__Chlamydiales	O__Thermoanaerobaculum	O__Bradymonadales	O__Fimbriimonadales	P__Acidobacteria	C__Opitutae	O__Acidithiobacillales	C__Armatimonadetes_gp4	P__Lentisphaerae
2020-023_BSP_0011	F2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0041	F2	520	0	1291	0	225	189	0	1034	0	209	16	429	0	0	0	389	0	0	0	320	161	0	794	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0055	F2	3858	0	4353	0	0	0	0	1237	0	0	0	1858	0	0	205	833	358	0	828	0	0	4	294	1705	0	0	0	0	0	0	58	693	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0096	F2	1477	0	3613	287	0	0	0	2009	0	3849	0	725	0	0	0	0	0	0	548	290	703	0	860	39	0	0	470	0	399	0	0	904	0	0	0	0	0	0	501	0	456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0119	F2	1954	0	4780	858	361	1915	250	0	0	1328	429	619	0	0	0	926	192	0	0	239	219	0	529	513	213	0	0	0	0	0	0	0	0	0	0	0	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0	322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0132	F2	6335	0	4343	783	478	1634	0	293	0	410	0	3342	0	0	0	2885	5	0	0	0	700	3	630	949	4	0	0	0	0	7	0	0	0	6	0	527	465	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0173	F2	413	0	317	0	0	525	0	0	0	13455	63	24215	0	0	39	170	0	0	0	78	274	606	0	159	784	0	33	0	0	674	0	0	0	0	76	181	0	0	0	0	0	0	0	0	54	0	0	40	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0198	F2	195	0	2418	681	0	119	279	959	0	459	319	911	0	0	419	204	0	0	132	0	0	57	0	249	157	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0217	F2	801	0	2304	0	427	0	0	289	0	361	0	779	0	0	0	705	0	0	0	97	69	0	0	733	0	0	0	0	0	0	30	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0249	F2	212	0	1080	133	63	68	0	587	0	12768	0	16530	0	0	145	5	0	0	41	0	0	2241	232	99	313	0	0	62	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	990	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
