new_id	phase	K__Bacteria	NA
2020-023_PSC_0001	BL	14924	0
2020-023_PSC_0002	BL	34185	0
2020-023_PSC_0003	BL	12471	0
2020-023_PSC_0005	BL	29665	0
2020-023_PSC_0006	BL	19683	0
2020-023_PSC_0007	BL	34889	0
2020-023_PSC_0010	BL	23016	0
2020-023_PSC_0012	BL	40968	0
2020-023_PSC_0013	BL	25078	0
2020-023_PSC_0015	BL	22950	0
2020-023_PSC_0016	BL	56994	0
2020-023_PSC_0020	BL	33893	0
2020-023_PSC_0022	BL	36001	0
2020-023_PSC_0023	BL	19620	0
2020-023_PSC_0024	BL	20042	0
2020-023_PSC_0025	BL	13620	0
2020-023_PSC_0027	BL	34088	0
2020-023_PSC_0028	BL	14772	0
2020-023_PSC_0029	BL	21587	0
2020-023_PSC_0030	BL	52205	0
2020-023_PSC_0031	BL	13329	0
2020-023_PSC_0032	BL	22713	0
2020-023_PSC_0035	BL	15080	0
2020-023_PSC_0037	BL	4968	0
2020-023_PSC_0038	BL	27996	0
2020-023_PSC_0039	BL	39053	0
2020-023_PSC_0040	BL	11123	0
2020-023_PSC_0042	BL	28118	0
2020-023_PSC_0043	BL	24070	0
2020-023_PSC_0044	BL	11918	0
2020-023_PSC_0046	BL	16209	0
2020-023_PSC_0047	BL	23561	0
2020-023_PSC_0051	BL	30720	0
2020-023_PSC_0052	BL	29072	0
2020-023_PSC_0054	BL	63787	0
2020-023_PSC_0056	BL	21627	0
2020-023_PSC_0058	BL	60230	0
2020-023_PSC_0059	BL	37042	0
2020-023_PSC_0063	BL	29605	0
2020-023_PSC_0066	BL	11844	0
2020-023_PSC_0067	BL	19570	0
2020-023_PSC_0068	BL	11003	0
2020-023_PSC_0069	BL	21567	0
2020-023_PSC_0070	BL	27444	0
2020-023_PSC_0071	BL	11065	0
2020-023_PSC_0072	BL	35684	0
2020-023_PSC_0073	BL	14034	0
2020-023_PSC_0074	BL	32079	2
2020-023_PSC_0075	BL	28053	0
2020-023_PSC_0076	BL	23479	0
2020-023_PSC_0077	BL	13095	0
2020-023_PSC_0078	BL	40942	0
2020-023_PSC_0079	BL	34560	0
2020-023_PSC_0080	BL	35415	0
2020-023_PSC_0081	BL	32629	0
2020-023_PSC_0082	BL	38067	0
2020-023_PSC_0083	BL	11514	0
2020-023_PSC_0084	BL	20497	0
2020-023_PSC_0086	BL	28003	0
2020-023_PSC_0087	BL	27316	0
2020-023_PSC_0088	BL	11619	0
2020-023_PSC_0089	BL	19834	0
2020-023_PSC_0090	BL	25042	0
2020-023_PSC_0091	BL	55751	0
2020-023_PSC_0093	BL	26882	0
2020-023_PSC_0094	BL	10218	0
2020-023_PSC_0095	BL	23031	0
2020-023_PSC_0098	BL	35683	0
2020-023_PSC_0099	BL	22914	0
2020-023_PSC_0100	BL	13089	0
2020-023_PSC_0101	BL	23982	0
2020-023_PSC_0102	BL	35591	0
2020-023_PSC_0103	BL	21965	0
2020-023_PSC_0104	BL	12629	0
2020-023_PSC_0105	BL	23303	0
2020-023_PSC_0106	BL	22037	0
2020-023_PSC_0107	BL	27764	0
2020-023_PSC_0108	BL	52177	0
2020-023_PSC_0110	BL	16563	0
2020-023_PSC_0111	BL	30061	0
2020-023_PSC_0112	BL	37045	0
2020-023_PSC_0114	BL	35207	0
2020-023_PSC_0116	BL	19807	0
2020-023_PSC_0117	BL	20909	0
2020-023_PSC_0120	BL	24433	0
2020-023_PSC_0121	BL	17660	0
2020-023_PSC_0122	BL	49224	0
2020-023_PSC_0124	BL	35322	0
2020-023_PSC_0125	BL	25585	0
2020-023_PSC_0126	BL	24128	0
2020-023_PSC_0127	BL	58871	0
2020-023_PSC_0128	BL	16202	0
2020-023_PSC_0129	BL	52966	0
2020-023_PSC_0130	BL	40668	0
2020-023_PSC_0133	BL	34416	0
2020-023_PSC_0136	BL	36903	0
2020-023_PSC_0137	BL	26670	0
2020-023_PSC_0139	BL	27468	0
2020-023_PSC_0142	BL	21498	0
2020-023_PSC_0143	BL	27954	0
2020-023_PSC_0145	BL	29787	0
2020-023_PSC_0147	BL	26182	0
2020-023_PSC_0148	BL	48097	0
2020-023_PSC_0150	BL	15306	0
2020-023_PSC_0151	BL	24898	0
2020-023_PSC_0152	BL	14638	0
2020-023_PSC_0153	BL	13744	0
2020-023_PSC_0155	BL	29793	0
2020-023_PSC_0156	BL	29859	0
2020-023_PSC_0157	BL	21358	0
2020-023_PSC_0158	BL	15524	0
2020-023_PSC_0159	BL	83139	0
2020-023_PSC_0160	BL	28357	0
2020-023_PSC_0161	BL	24185	0
2020-023_PSC_0163	BL	13799	0
2020-023_PSC_0165	BL	21403	0
2020-023_PSC_0166	BL	26764	0
2020-023_PSC_0168	BL	30058	0
2020-023_PSC_0169	BL	17075	0
2020-023_PSC_0170	BL	42565	0
2020-023_PSC_0174	BL	4936	0
2020-023_PSC_0175	BL	16186	0
2020-023_PSC_0177	BL	30459	0
2020-023_PSC_0178	BL	16643	0
2020-023_PSC_0179	BL	26244	0
2020-023_PSC_0181	BL	8775	0
2020-023_PSC_0182	BL	25621	0
2020-023_PSC_0183	BL	19524	0
2020-023_PSC_0184	BL	19088	0
2020-023_PSC_0185	BL	31240	0
2020-023_PSC_0186	BL	7316	0
2020-023_PSC_0187	BL	27192	0
2020-023_PSC_0188	BL	32754	0
2020-023_PSC_0190	BL	21608	0
2020-023_PSC_0191	BL	30383	0
2020-023_PSC_0192	BL	32411	0
2020-023_PSC_0193	BL	49675	0
2020-023_PSC_0194	BL	22834	0
2020-023_PSC_0195	BL	18651	0
2020-023_PSC_0196	BL	22356	0
2020-023_PSC_0197	BL	38383	0
2020-023_PSC_0199	BL	67166	0
2020-023_PSC_0200	BL	18720	0
2020-023_PSC_0201	BL	57586	0
2020-023_PSC_0202	BL	23740	0
2020-023_PSC_0203	BL	21485	0
2020-023_PSC_0204	BL	31623	0
2020-023_PSC_0205	BL	24419	0
2020-023_PSC_0206	BL	34599	0
2020-023_PSC_0207	BL	18054	0
2020-023_PSC_0209	BL	19209	0
2020-023_PSC_0211	BL	13359	0
2020-023_PSC_0212	BL	30079	0
2020-023_PSC_0213	BL	14802	0
2020-023_PSC_0215	BL	37812	0
2020-023_PSC_0216	BL	22600	0
2020-023_PSC_0218	BL	19718	0
2020-023_PSC_0219	BL	13434	0
2020-023_PSC_0220	BL	16782	0
2020-023_PSC_0221	BL	32932	0
2020-023_PSC_0223	BL	29376	0
2020-023_PSC_0228	BL	13909	0
2020-023_PSC_0229	BL	48019	0
2020-023_PSC_0230	BL	28790	0
2020-023_PSC_0231	BL	18608	0
2020-023_PSC_0232	BL	17704	0
2020-023_PSC_0233	BL	23970	0
2020-023_PSC_0234	BL	11305	0
2020-023_PSC_0235	BL	19208	0
2020-023_PSC_0236	BL	19577	0
2020-023_PSC_0237	BL	23264	0
2020-023_PSC_0239	BL	23166	0
2020-023_PSC_0241	BL	17554	0
2020-023_PSC_0243	BL	49369	0
2020-023_PSC_0244	BL	20197	0
2020-023_PSC_0245	BL	29605	0
2020-023_PSC_0246	BL	23546	0
2020-023_PSC_0247	BL	43624	0
2020-023_PSC_0248	BL	46976	0
2020-023_PSC_0250	BL	43112	0
2020-023_PSC_0251	BL	33223	0
2020-023_PSC_0252	BL	32944	0
2020-023_PSC_0255	BL	37702	0
2020-023_PSC_0258	BL	67893	0
2020-023_PSC_0259	BL	25767	0
2020-023_PSC_0260	BL	27339	0
2020-023_PSC_0262	BL	25062	0
2020-023_PSC_0263	BL	26071	0
2020-023_PSC_0264	BL	17500	0
2020-023_PSC_0265	BL	20500	0
2020-023_PSC_0266	BL	32074	0
2020-023_PSC_0267	BL	15076	0
2020-023_PSC_0269	BL	15256	0
2020-023_PSC_0271	BL	18887	0
2020-023_PSC_0273	BL	41982	0
2020-023_PSC_0274	BL	20549	0
2020-023_PSC_0275	BL	15867	0
2020-023_PSC_0276	BL	35108	0
2020-023_PSC_0277	BL	18369	0
2020-023_PSC_0279	BL	39544	0
2020-023_PSC_0280	BL	23367	0
2020-023_PSC_0284	BL	30571	0
2020-023_PSC_0285	BL	28151	0
2020-023_PSC_0287	BL	27563	0
2020-023_PSC_0288	BL	40879	0
2020-023_PSC_0289	BL	19945	0
2020-023_PSC_0291	BL	35931	0
2020-023_PSC_0292	BL	22828	0
2020-023_PSC_0295	BL	18760	0
