new_id	phase	P__Bacteroidetes	P__Firmicutes	P__Proteobacteria	P__Verrucomicrobia	P__Actinobacteria	P__Fusobacteria	P__Tenericutes	K__Bacteria	P__Spirochaetes	P__Cyanobacteria.Chloroplast	P__Synergistetes	P__Candidatus_Saccharibacteria	P__Lentisphaerae	P__Elusimicrobia	P__Parcubacteria	P__Deferribacteres	P__Deinococcus.Thermus	NA	P__Acidobacteria	P__Microgenomates	P__Chloroflexi	P__Armatimonadetes
2020-023_PSC_0001	BL	5739	8660	520	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0002	BL	11088	10564	12457	0	56	0	0	0	0	7	0	13	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0003	BL	3718	7662	751	0	28	0	0	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0005	BL	18351	8634	2377	21	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0006	BL	3646	12244	2445	98	1185	0	0	38	0	0	9	18	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0007	BL	14920	15327	4110	2	468	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0010	BL	8	11684	11191	0	81	2	0	10	0	0	0	40	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0012	BL	22700	8670	7977	875	201	0	0	0	0	537	0	8	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0013	BL	11020	10714	1948	737	80	0	0	543	0	36	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0015	BL	9080	7312	6151	8	378	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0016	BL	9853	45642	463	0	1019	0	0	4	0	0	0	10	3	0	0	0	0	0	0	0	0	0
2020-023_PSC_0020	BL	23385	9761	358	0	387	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0022	BL	22015	13328	147	0	507	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
