new_id	phase	C__Bacteroidia	C__Negativicutes	C__Gammaproteobacteria	C__Clostridia	C__Betaproteobacteria	C__Verrucomicrobiae	C__Bacilli	C__Actinobacteria	C__Erysipelotrichia	C__Alphaproteobacteria	P__Firmicutes	C__Deltaproteobacteria	P__Proteobacteria	C__Fusobacteriia	P__Bacteroidetes	C__Mollicutes	K__Bacteria	C__Spirochaetia	C__Chloroplast	C__Flavobacteriia	C__Synergistia	P__Candidatus_Saccharibacteria	C__Epsilonproteobacteria	C__Lentisphaeria	C__Cytophagia	C__Sphingobacteriia	C__Opitutae	C__Elusimicrobia	P__Parcubacteria	C__Deferribacteres	C__Deinococci	NA	C__Acidobacteria_Gp16	P__Microgenomates	C__Cyanobacteria	C__Chloroflexia	C__Holophagae	C__Acidobacteria_Gp4	C__Armatimonadia	C__Acidobacteria_Gp6
2020-023_PSC_0001	BL	5739	2236	205	6049	193	0	192	5	93	0	90	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0002	BL	11088	701	12323	8185	103	0	1634	56	44	0	0	0	2	0	0	0	0	0	7	0	0	13	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0003	BL	3718	125	682	7225	15	0	77	28	115	4	120	29	21	0	0	0	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0005	BL	18351	793	1919	7429	313	21	77	282	320	0	15	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0006	BL	3646	157	2219	10638	184	98	265	1185	1181	19	3	9	14	0	0	0	38	0	0	0	9	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0007	BL	14920	10	4110	10673	0	2	1011	468	3508	0	125	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0010	BL	3	267	11152	10497	39	0	331	81	589	0	0	0	0	2	0	0	10	0	0	5	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0012	BL	22697	1342	7622	5942	69	875	1231	201	100	0	55	249	37	0	3	0	0	0	537	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0013	BL	11020	289	1132	9584	314	737	170	80	111	106	560	80	316	0	0	0	543	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0015	BL	8978	770	6031	5855	49	8	83	378	162	0	442	71	0	0	102	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0016	BL	9853	672	29	38172	256	0	733	1019	5942	0	123	170	8	0	0	0	4	0	0	0	0	10	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0020	BL	23385	3608	46	5756	208	0	81	387	230	0	86	104	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0022	BL	22015	10051	9	2998	138	0	118	507	141	0	20	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0023	BL	4870	698	3503	9090	534	244	50	32	68	0	219	301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0024	BL	13923	30	97	5085	328	0	301	53	187	7	21	0	4	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0025	BL	3605	550	130	8637	481	0	16	59	45	0	61	0	0	3	0	0	29	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0027	BL	4295	4168	6098	16413	57	1785	92	111	629	3	428	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0028	BL	5631	2017	259	5426	357	469	100	68	400	0	32	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0029	BL	10314	2603	936	6111	598	0	4	254	218	233	76	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0030	BL	17630	551	20672	9317	170	6	878	2346	88	0	16	456	3	0	38	0	6	0	12	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
