new_id	phase	K__Bacteria	unassigned
2020-023_BSP_0011	F2	28301	0
2020-023_BSP_0041	F2	6670	0
2020-023_BSP_0055	F2	17437	0
2020-023_BSP_0096	F2	11834	0
2020-023_BSP_0119	F2	18134	0
2020-023_BSP_0132	F2	5522	0
2020-023_BSP_0173	F2	27274	0
2020-023_BSP_0198	F2	25775	0
2020-023_BSP_0217	F2	43708	0
2020-023_BSP_0249	F2	19445	0
2020-023_BSP_0253	F2	38578	0
2020-023_BSP_0261	F2	29591	0
2020-023_BSP_0296	F2	21762	0
2020-023_BSP_0312	F2	18721	0
2020-023_BSP_0327	F2	36370	0
2020-023_BSP_0348	F2	16956	0
2020-023_BSP_0361	F2	23700	0
2020-023_BSP_0379	F2	58728	0
2020-023_BSP_0381	F2	29192	0
2020-023_BSP_0388	F2	18953	0
2020-023_BSP_0414	F2	12805	0
2020-023_BSP_0421	F2	15306	0
2020-023_BSP_0432	F2	14610	0
2020-023_BSP_0438	F2	67757	0
2020-023_BSP_0442	F2	28273	0
2020-023_BSP_0450	F2	26510	0
2020-023_BSP_0461	F2	23193	0
2020-023_BSP_0464	F2	19336	0
2020-023_BSP_0471	F2	17960	0
2020-023_BSP_0473	F2	21696	0
2020-023_BSP_0478	F2	42428	0
2020-023_BSP_0483	F2	24678	0
2020-023_BSP_0496	F2	12724	0
2020-023_BSP_0544	F2	23940	0
2020-023_BSP_0549	F2	29493	0
2020-023_BSP_0566	F2	38679	0
2020-023_BSP_0568	F2	23767	0
2020-023_BSP_0592	F2	23371	0
2020-023_BSP_0593	F2	23698	0
2020-023_BSP_0594	F2	32459	0
2020-023_BSP_0756	F2	30871	0
2020-023_BSP_0762	F2	24374	0
2020-023_SPC_0034	F2	58299	0
2020-023_SPC_0171	F2	16749	0
2020-023_SPC_0189	F2	17829	0
2020-023_SPC_0409	F2	50648	0
2020-023_SPC_0480	F2	8851	0
2020-023_SPC_0515	F2	27124	0
2020-023_SPC_0726	F2	19415	0
2020-023_SPC_0741	F2	18699	0
