new_id	phase	P__Bacteroidetes	P__Firmicutes	P__Proteobacteria	P__Verrucomicrobia	P__Actinobacteria	K__Bacteria	P__Synergistetes	P__Cyanobacteria.Chloroplast	P__Fusobacteria	P__Tenericutes	P__Spirochaetes	P__Lentisphaerae	P__Candidatus_Saccharibacteria	P__Elusimicrobia	P__Deferribacteres	unassigned	P__Deinococcus.Thermus	P__Acidobacteria	P__SR1	P__Chloroflexi	P__Nitrospirae	P__Parcubacteria	P__Planctomycetes
2020-023_BSP_0011	F2	14752	12507	925	2	102	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0041	F2	3016	3207	384	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0055	F2	6670	9830	851	20	6	55	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0096	F2	6702	3964	1111	12	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0119	F2	6475	9593	1648	271	58	73	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0132	F2	1788	3188	339	0	17	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0173	F2	9248	13285	3048	79	1093	343	0	0	0	0	0	178	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0198	F2	10774	13894	699	229	42	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0217	F2	18521	24987	112	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0249	F2	8564	10169	311	0	218	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0253	F2	5239	26932	5831	0	572	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0261	F2	11216	14606	1315	413	151	1797	0	0	0	0	0	5	0	88	0	0	0	0	0	0	0	0	0
2020-023_BSP_0296	F2	6558	12649	475	0	71	2009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0312	F2	10979	6488	898	0	352	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0327	F2	13552	13878	8592	6	337	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0348	F2	10905	5142	856	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0361	F2	6658	13513	2561	146	430	220	16	11	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0379	F2	29140	26049	2653	99	461	94	0	0	0	117	0	115	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0381	F2	11382	12154	4801	8	100	743	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0388	F2	9497	6957	2413	0	6	67	0	0	0	0	0	9	4	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0414	F2	4838	6839	677	96	350	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0421	F2	4492	7816	2039	290	453	194	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0432	F2	7863	6011	556	161	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
