trait	trait_id	trait_name	description	value	value_description	alternative_value	type	source_token	source_name
t5_year_of_birth	5	year_of_birth	Year of birth	1900 - 2030			continuous	QUPG	question form popgen
t5_year_of_birth	5	year_of_birth	Year of birth	7777777	unreadable/inconsistent		continuous	QUPG	question form popgen
t5_year_of_birth	5	year_of_birth	Year of birth	9999999	missing		continuous	QUPG	question form popgen
t24_height	24	height	How tall are you (cm)?	35 - 220			continuous	QUPG	question form popgen
t24_height	24	height	How tall are you (cm)?	7777777	unreadable/inconsistent		continuous	QUPG	question form popgen
t24_height	24	height	How tall are you (cm)?	9999999	missing		continuous	QUPG	question form popgen
t25_height	25	height	Height measured in in-house examination (cm)	35 - 220			continuous	EXPG	examination sheet popgen
t25_height	25	height	Height measured in in-house examination (cm)	7777777	unreadable/inconsistent		continuous	EXPG	examination sheet popgen
t25_height	25	height	Height measured in in-house examination (cm)	9999999	missing		continuous	EXPG	examination sheet popgen
t27_weight	27	weight	What is your weight (kg)?	2 - 250			continuous	QUPG	question form popgen
t27_weight	27	weight	What is your weight (kg)?	7777777	unreadable/inconsistent		continuous	QUPG	question form popgen
t27_weight	27	weight	What is your weight (kg)?	9999999	missing		continuous	QUPG	question form popgen
t28_weight	28	weight	Weight measured in in-house examination (kg)	20 - 220			continuous	EXPG	examination sheet popgen
t28_weight	28	weight	Weight measured in in-house examination (kg)	999	out of range		continuous	EXPG	examination sheet popgen
t28_weight	28	weight	Weight measured in in-house examination (kg)	7777777	unreadable/inconsistent		continuous	EXPG	examination sheet popgen
t28_weight	28	weight	Weight measured in in-house examination (kg)	9999999	missing		continuous	EXPG	examination sheet popgen
t38_smoke_cigarettes_n	38	smoke_cigarettes_n	How many cigarettes do you or did you smoke per day?	0 - 280			continuous	QUPG	question form popgen
t38_smoke_cigarettes_n	38	smoke_cigarettes_n	How many cigarettes do you or did you smoke per day?	111	1 Päckchen		continuous	QUPG	question form popgen
t38_smoke_cigarettes_n	38	smoke_cigarettes_n	How many cigarettes do you or did you smoke per day?	222	2 Päckchen		continuous	QUPG	question form popgen
t38_smoke_cigarettes_n	38	smoke_cigarettes_n	How many cigarettes do you or did you smoke per day?	333	< 1 Zigarette pro Tag		continuous	QUPG	question form popgen
t38_smoke_cigarettes_n	38	smoke_cigarettes_n	How many cigarettes do you or did you smoke per day?	444	< 10 Zigaretten		continuous	QUPG	question form popgen
t38_smoke_cigarettes_n	38	smoke_cigarettes_n	How many cigarettes do you or did you smoke per day?	7777777	unreadable/inconsistent		continuous	QUPG	question form popgen
t38_smoke_cigarettes_n	38	smoke_cigarettes_n	How many cigarettes do you or did you smoke per day?	9999999	missing		continuous	QUPG	question form popgen
t40_smoke_years	40	smoke_years	How many years have you smoked?	0 - 70			continuous	QUPG	question form popgen
t40_smoke_years	40	smoke_years	How many years have you smoked?	7777777	unreadable/inconsistent		continuous	QUPG	question form popgen
t40_smoke_years	40	smoke_years	How many years have you smoked?	9999999	missing		continuous	QUPG	question form popgen
t276_BMI	276	BMI	BMI (Body Mass Index: (weight[kg]/((height[cm]/100)^2)	10 - 90			continuous	QUPG	question form popgen
t276_BMI	276	BMI	BMI (Body Mass Index: (weight[kg]/((height[cm]/100)^2)	7777777	unreadable/inconsistent		continuous	QUPG	question form popgen
t276_BMI	276	BMI	BMI (Body Mass Index: (weight[kg]/((height[cm]/100)^2)	9999999	missing		continuous	QUPG	question form popgen
t277_BMI	277	BMI	BMI from values measured in in-house examination (Body Mass Index: weight/((height/100)^2)	1 - 100			continuous	EXPG	examination sheet popgen
t277_BMI	277	BMI	BMI from values measured in in-house examination (Body Mass Index: weight/((height/100)^2)	7777777	unreadable/inconsistent		continuous	EXPG	examination sheet popgen
t277_BMI	277	BMI	BMI from values measured in in-house examination (Body Mass Index: weight/((height/100)^2)	9999999	missing		continuous	EXPG	examination sheet popgen
t289_smoke_pipes_cigars_n	289	smoke_pipes_cigars_n	How many pipes or cigars did/ do you smoke per day?	0 - 40			continuous	QUPG	question form popgen
t289_smoke_pipes_cigars_n	289	smoke_pipes_cigars_n	How many pipes or cigars did/ do you smoke per day?	7777777	unreadable/inconsistent		continuous	QUPG	question form popgen
t289_smoke_pipes_cigars_n	289	smoke_pipes_cigars_n	How many pipes or cigars did/ do you smoke per day?	9999999	missing		continuous	QUPG	question form popgen
