trait	trait_id	trait_name	description	value	value_description	alternative_value	type	source_token	source_name
t5_year_of_birth	5	year_of_birth	Year of birth	1900 - 2030			continuous	QUPG	question form popgen
t5_year_of_birth	5	year_of_birth	Year of birth	7777777	unreadable/inconsistent		continuous	QUPG	question form popgen
t5_year_of_birth	5	year_of_birth	Year of birth	9999999	missing		continuous	QUPG	question form popgen
t24_height	24	height	How tall are you (cm)?	35 - 220			continuous	QUPG	question form popgen
t24_height	24	height	How tall are you (cm)?	7777777	unreadable/inconsistent		continuous	QUPG	question form popgen
t24_height	24	height	How tall are you (cm)?	9999999	missing		continuous	QUPG	question form popgen
t27_weight	27	weight	What is your weight (kg)?	2 - 250			continuous	QUPG	question form popgen
t27_weight	27	weight	What is your weight (kg)?	7777777	unreadable/inconsistent		continuous	QUPG	question form popgen
t27_weight	27	weight	What is your weight (kg)?	9999999	missing		continuous	QUPG	question form popgen
t37_sample_age	37	sample_age	Age at blood sampling	0 - 120			continuous	ADPG	administrative/derived popgen
t37_sample_age	37	sample_age	Age at blood sampling	7777777	unreadable/inconsistent		continuous	ADPG	administrative/derived popgen
t37_sample_age	37	sample_age	Age at blood sampling	9999999	missing		continuous	ADPG	administrative/derived popgen
t38_smoke_cigarettes_n	38	smoke_cigarettes_n	How many cigarettes do you or did you smoke per day?	0 - 280			continuous	QUPG	question form popgen
t38_smoke_cigarettes_n	38	smoke_cigarettes_n	How many cigarettes do you or did you smoke per day?	111	1 Päckchen		continuous	QUPG	question form popgen
t38_smoke_cigarettes_n	38	smoke_cigarettes_n	How many cigarettes do you or did you smoke per day?	222	2 Päckchen		continuous	QUPG	question form popgen
t38_smoke_cigarettes_n	38	smoke_cigarettes_n	How many cigarettes do you or did you smoke per day?	333	< 1 Zigarette pro Tag		continuous	QUPG	question form popgen
t38_smoke_cigarettes_n	38	smoke_cigarettes_n	How many cigarettes do you or did you smoke per day?	444	< 10 Zigaretten		continuous	QUPG	question form popgen
t38_smoke_cigarettes_n	38	smoke_cigarettes_n	How many cigarettes do you or did you smoke per day?	7777777	unreadable/inconsistent		continuous	QUPG	question form popgen
t38_smoke_cigarettes_n	38	smoke_cigarettes_n	How many cigarettes do you or did you smoke per day?	9999999	missing		continuous	QUPG	question form popgen
t40_smoke_years	40	smoke_years	How many years have you smoked?	0 - 70			continuous	QUPG	question form popgen
t40_smoke_years	40	smoke_years	How many years have you smoked?	7777777	unreadable/inconsistent		continuous	QUPG	question form popgen
t40_smoke_years	40	smoke_years	How many years have you smoked?	9999999	missing		continuous	QUPG	question form popgen
t276_BMI	276	BMI	BMI (Body Mass Index: (weight[kg]/((height[cm]/100)^2)	10 - 90			continuous	QUPG	question form popgen
t276_BMI	276	BMI	BMI (Body Mass Index: (weight[kg]/((height[cm]/100)^2)	7777777	unreadable/inconsistent		continuous	QUPG	question form popgen
t276_BMI	276	BMI	BMI (Body Mass Index: (weight[kg]/((height[cm]/100)^2)	9999999	missing		continuous	QUPG	question form popgen
t289_smoke_pipes_cigars_n	289	smoke_pipes_cigars_n	How many pipes or cigars did/ do you smoke per day?	0 - 40			continuous	QUPG	question form popgen
t289_smoke_pipes_cigars_n	289	smoke_pipes_cigars_n	How many pipes or cigars did/ do you smoke per day?	7777777	unreadable/inconsistent		continuous	QUPG	question form popgen
t289_smoke_pipes_cigars_n	289	smoke_pipes_cigars_n	How many pipes or cigars did/ do you smoke per day?	9999999	missing		continuous	QUPG	question form popgen
t305_smoke_quit_age	305	smoke_quit_age	What age did you quit smoking at?	0 - 110			continuous	QUPG	question form popgen
t305_smoke_quit_age	305	smoke_quit_age	What age did you quit smoking at?	7777777	unreadable/inconsistent		continuous	QUPG	question form popgen
t305_smoke_quit_age	305	smoke_quit_age	What age did you quit smoking at?	9999999	missing		continuous	QUPG	question form popgen
t306_smoke_start_age	306	smoke_start_age	What age did you start smoking at?	0 - 110			continuous	QUPG	question form popgen
t306_smoke_start_age	306	smoke_start_age	What age did you start smoking at?	7777777	unreadable/inconsistent		continuous	QUPG	question form popgen
t306_smoke_start_age	306	smoke_start_age	What age did you start smoking at?	9999999	missing		continuous	QUPG	question form popgen
t307_smoke_quit_year	307	smoke_quit_year	Which year did you quit smoking?	1900 - 2030			continuous	QUPG	question form popgen
t307_smoke_quit_year	307	smoke_quit_year	Which year did you quit smoking?	7777777	unreadable/inconsistent		continuous	QUPG	question form popgen
